event_key,event_name,start_date,end_date,event_location,event_type,event_location-size
716,Valentine's Day,14/02/2016,14/02/2016,Domestic,holiday,
717,Vancouver Fashion Week,30/03/2016,05/04/2016,Vancouver,event,631490
718,Vancouver Gem & Mineral Show,09/08/2016,09/08/2016,Vancouver,event,631490
719,Vancouver Gift Expo,15/03/2016,17/03/2016,Vancouver,event,631490
720,Vancouver International Travel Expo,19/09/2016,19/09/2016,Vancouver,event,631490
721,Victoria Day,18/05/2016,18/05/2016,Domestic,holiday,
722,BMO Vancouver Marathon,03/05/2016,03/05/2016,Vancouver,event,631490
723,Honda Celebration of Light,25/07/2016,25/07/2016,Vancouver,event,631490
724,Vancouver Cherry Blossom Festival,04/04/2016,28/04/2016,Vancouver,event,631490
725,Dine Out Vancouver Festival,17/01/2016,02/02/2016,Vancouver,event,631490
726,HSBC Canada Sevens,07/03/2016,08/03/2016,Vancouver,event,631490
727,International Jazz Festival,21/06/2016,01/07/2016,Vancouver,event,631490
728,PuSh International Performing Arts Festival,21/01/2016,09/02/2016,Vancouver,event,631490
729,TED Conference,20/04/2016,24/04/2016,Vancouver,event,631490
730,Vancouver Craft Beer Week,29/05/2016,07/06/2016,Vancouver,event,631490
731,Vancouver Folk Music Festival,17/07/2016,19/07/2016,Vancouver,event,631490
732,Vancouver International Film Festival (VIFF),24/09/2016,09/10/2016,Vancouver,event,631490
733,Vancouver International Wine Festival,22/02/2016,01/03/2016,Vancouver,event,631490
734,Vancouver Opera Festival,22/02/2016,01/05/2016,Vancouver,event,631490
735,Vancouver Pride Festival,02/08/2016,02/08/2016,Vancouver,event,631490
736,Aboriginal Day,21/06/2015,21/06/2015,Domestic,holiday,
737,Boxing Day,26/12/2015,26/12/2015,Domestic,holiday,
738,BUILDEX Vancouver,12/02/2015,13/02/2015,Vancouver,event,647540
739,Canada Day,01/07/2015,01/07/2015,Domestic,holiday,
740,Canada Day Celebrations,01/07/2015,01/07/2015,Vancouver,event,647540
741,Christmas Day,25/12/2015,25/12/2015,Domestic,holiday,
742,Civic Holiday,03/08/2015,03/08/2015,Domestic,holiday,
743,Easter Monday,13/04/2015,13/04/2015,Domestic,holiday,
744,Family Day,17/02/2015,17/02/2015,Domestic,holiday,
745,Father's Day,21/06/2015,21/06/2015,Domestic,holiday,
746,Good Friday,10/04/2015,10/04/2015,Domestic,holiday,
747,Heritage Day,17/02/2015,17/02/2015,Domestic,holiday,
748,Islander Day,17/02/2015,17/02/2015,Domestic,holiday,
749,Labour Day,07/09/2015,07/09/2015,Domestic,holiday,
750,Leap Day,29/02/2015,29/02/2015,Domestic,holiday,
751,Louis Riel Day,17/02/2015,17/02/2015,Domestic,holiday,
752,Mother's Day,10/05/2015,10/05/2015,Domestic,holiday,
753,New Year's Day,01/01/2015,01/01/2015,Domestic,holiday,
754,New Year's Eve,31/12/2015,31/12/2015,Vancouver,holiday,647540
755,Remembrance Day,11/11/2015,11/11/2015,Domestic,holiday,
756,Remembrance Day Parade and Service,11/11/2015,11/11/2015,Vancouver,event,647540
757,Sidelaunch Days,10/08/2015,11/08/2015,Domestic,holiday,
758,St. Jean Baptiste Day,24/06/2015,24/06/2015,Domestic,holiday,
